nm_docente;chave;foto
FABIO LUIZ LOPES DA SILVA;K4728342A5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4728342A5
FABIO MACHADO PINTO;K4707978U6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4707978U6
FABIO PERES GONCALVES;K4776142J8;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4776142J8
FABIO SILVA BOTELHO;K4723110J3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4723110J3
FABIO ZAZYKI GALETTO;K4739632Y4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4739632Y4
FABRICIA SILVA DA ROSA;K4773706Z6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4773706Z6
FABRICIO AUGUSTO MENEGON;K4705544P3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4705544P3
FABRICIO DE SOUZA NEVES;K4764237Z8;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4764237Z8
FARUK JOSE NOME AGUILERA;K4787209E4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4787209E4
FATIMA REGINA MENA BARRETO SILVA;K4784795T3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4784795T3
FELICIO WESSLING MARGOTTI;K4761183U2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4761183U2
FELIPE ARRETCHE;K4760078P5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4760078P5
FELIPE GOMES DE OLIVEIRA CABRAL;K4413054A4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4413054A4
FELIPE LOPES CASTRO;K4295226U2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4295226U2
FELIPE MENDONCA PIMENTA;K4794499U0;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4794499U0
FERMIN SINFORIANO VILOCHE BAZAN;K4784263A3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4784263A3
FERNANDA BARBOSA LIMA;K4767155H4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4767155H4
FERNANDA BARBOSA LIMA CHRISTIAN;;
FERNANDA FERNANDES MARCHIORI;K4767990J9;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4767990J9
FERNANDA HANSEN;K4130274J0;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4130274J0
FERNANDA MACHADO LOPES;K4238024Z8;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4238024Z8
FERNANDA MULLER;K4774133Y4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4774133Y4
